,compliance
284932,0.059918565958315365
285362,0.05444157666142276
285361,0.06443761811583537
285338,0.05947156364185043
285346,0.07653919394095762
285345,0.05947156364185043
285347,0.08617145305158268
285342,0.27563840619758173
285530,0.055715267161127756
284989,0.055715267161127756
285344,0.06494855293874302
285343,0.055715267161127756
285340,0.055715267161127756
285341,0.06494855293874302
285349,0.07653919394095762
285348,0.05947156364185043
284991,0.055715267161127756
285532,0.055715267161127756
285406,0.05444157666142276
285001,0.05646556698641895
285006,0.061192256458020344
285405,0.05444157666142276
285337,0.05444157666142276
285496,0.059918565958315365
285497,0.05444157666142276
285378,0.05444157666142276
285589,0.05444157666142276
285585,0.05444157666142276
285501,0.07245647510860467
285581,0.05444157666142276
285583,0.05444157666142276
285372,0.05444157666142276
285470,0.059918565958315365
285475,0.059918565958315365
285370,0.05444157666142276
285503,0.059918565958315365
285502,0.05444157666142276
285411,0.05444157666142276
285498,0.11528653218403777
285414,0.05444157666142276
285484,0.05444157666142276
285499,0.059918565958315365
285419,0.05444157666142276
288210,0.10845894705286582
285351,0.24474011729755266
288200,0.19399346420371516
285353,0.07653919394095762
285364,0.059918565958315365
288206,0.10845894705286582
288135,0.06494855293874302
285366,0.059918565958315365
288174,0.059918565958315365
288068,0.06494855293874302
288140,0.11365319758436736
285434,0.07245647510860467
288072,0.06494855293874302
288213,0.059918565958315365
285428,0.05444157666142276
288167,0.10845894705286582
288145,0.06494855293874302
285367,0.05444157666142276
285422,0.05444157666142276
285505,0.059918565958315365
285425,0.05444157666142276
292482,0.05589486040622553
292484,0.059918565958315365
292481,0.059918565958315365
292483,0.059918565958315365
288137,0.06494855293874302
285408,0.05444157666142276
285427,0.05444157666142276
285359,0.05444157666142276
288216,0.06494855293874302
288214,0.22899528079462916
285546,0.055715267161127756
285549,0.06494855293874302
285595,0.05444157666142276
285594,0.059918565958315365
285357,0.05444157666142276
288163,0.10845894705286582
288220,0.06494855293874302
285416,0.05444157666142276
285421,0.05444157666142276
285678,0.05444157666142276
288148,0.059918565958315365
285358,0.05444157666142276
285573,0.06494855293874302
285543,0.07186528070948213
