,compliance
284932,0.0598805882696752
285362,0.039366610740198774
285361,0.04989944031410655
285338,0.061290097844316195
285346,0.06919406119892343
285345,0.061290097844316195
285347,0.08790028343407968
285342,0.3140523256905095
285530,0.04609369123845515
284989,0.042605450432319766
285344,0.063293149644873
285343,0.046284387598998146
285340,0.046284387598998146
285341,0.06375783907895466
285349,0.06919406119892343
285348,0.061290097844316195
284991,0.042605450432319766
285532,0.04618736059612817
285406,0.03963846563366045
285001,0.04916001381687277
285006,0.06337323057939118
285405,0.039315536179320286
285337,0.04019819004585322
285496,0.05130775429932183
285497,0.04665639334466799
285378,0.04018925358796708
285589,0.0411679503881779
285585,0.04593535996457125
285501,0.0532174746928102
285581,0.04018925358796708
285583,0.046372182876303326
285372,0.03980826768302258
285470,0.051948505114838915
285475,0.051948505114838915
285370,0.04071735698746796
285503,0.05130775429932183
285502,0.03946671950709111
285411,0.039556045546416785
285498,0.23132368522010402
285414,0.039258267825056335
285484,0.04665639334466799
285499,0.05130775429932183
285419,0.04840949670607103
288210,0.24539407415434117
285351,0.35120327804102397
288200,0.30354538425327454
285353,0.0718421422425111
285364,0.05053525752593711
288206,0.22143383939759823
288135,0.10058515901825497
285366,0.05053525752593711
288174,0.0986654825440349
288068,0.10058515901825497
288140,0.18757046462084792
285434,0.0532174746928102
288072,0.10058515901825497
288213,0.05687897379933356
285428,0.04894821693958033
288167,0.33370289222183214
288145,0.10058515901825497
285367,0.039366610740198774
285422,0.04658226690991677
285505,0.05130775429932183
285425,0.04071735698746796
292482,0.04306015723463192
292484,0.04250063988150494
292481,0.02559883928574901
292483,0.04250063988150494
288137,0.10058515901825497
285408,0.04658226690991677
285427,0.03915460964441945
285359,0.047182094279247425
288216,0.10058515901825497
288214,0.2820791012822025
285546,0.04591793425728467
285549,0.06469553497865402
285595,0.040794576064110154
285594,0.05000800964611637
285357,0.05045881027450022
288163,0.22143383939759823
288220,0.10058515901825497
285416,0.045463329240125486
285421,0.039258267825056335
285678,0.04019819004585322
288148,0.06142219326103128
285358,0.04019819004585322
285573,0.07139418354073787
285543,0.06436020314156962
285571,0.048848609902245946
288157,0.22143383939759823
285591,0.04625932460315805
285128,0.04019819004585322
285679,0.27494364179293046
288224,0.2820791012822025
285384,0.7445988736019622
285671,0.05084776222364172
285672,0.03927502041768247
285560,0.06375783907895466
285558,0.04591793425728467
285857,0.040794576064110154
285356,0.05175064206031336
285431,0.28199992815361014
285382,0.0394983183295466
285355,0.03968925358796708
286295,0.05956900349110541
285429,0.038996321134224014
285554,0.06722751687407122
285552,0.048848609902245946
285948,0.04007885180219613
285446,0.05245317167516193
285441,0.21728734278379522
285391,0.03998999896647354
285859,0.05360129741789564
285371,0.046284387598998146
285388,0.03998999896647354
285858,0.04776800560866654
285951,0.04894821693958033
286073,0.04618736059612817
286068,0.06549108945044088
285436,0.05245317167516193
286079,0.061290097844316195
285953,0.03991731290780105
285439,0.05245317167516193
285731,0.04781210064128466
288096,0.10058515901825497
285461,0.23912499473499843
285468,0.04115901393029176
285868,0.04019819004585322
285415,0.04894821693958033
285963,0.04018925358796708
285438,0.0411679503881779
285698,0.039747596645143275
285700,0.05054760932030085
285711,0.05054760932030085
285709,0.039747596645143275
285390,0.05162107962548027
285854,0.048465093278534724
285873,0.7129928745891805
288077,0.06142219326103128
285437,0.04785901725137353
288082,0.06142219326103128
285600,0.05237047376840022
285598,0.039747596645143275
285510,0.25089798212520215
286462,0.20789263703100716
285603,0.04593535996457125
285667,0.04309962015814743
285721,0.05237047376840022
285719,0.04781210064128466
285511,0.051374095315655496
285506,0.05245317167516193
285602,0.0484229434816403
285601,0.039747596645143275
288090,0.06142219326103128
285398,0.05162107962548027
288094,0.10058515901825497
285599,0.03915460964441945
285409,0.049362314956385614
285507,0.051374095315655496
285728,0.18836096282403808
285855,0.04018925358796708
285989,0.27431000414561074
285703,0.03968925358796708
285706,0.05054760932030085
285397,0.03982576743170667
285686,0.039747596645143275
285682,0.044582788606999345
285688,0.0484229434816403
285404,0.04194018122681104
285417,0.03946671950709111
285413,0.04894821693958033
285435,0.04798408771806445
285407,0.049362314956385614
286290,0.057015356236735516
286291,0.061319912735659565
285410,0.04894821693958033
285509,0.051374095315655496
285376,0.03982576743170667
285891,0.300888817042499
285964,0.04501477800100459
286088,0.04891374818865386
288289,0.2820791012822025
285794,0.060781335953178216
286143,0.04847667005618744
288097,0.05687897379933356
286145,0.051353075821711204
285471,0.03927502041768247
286455,0.04716519369593915
288247,0.18757046462084792
286097,0.04716519369593915
285789,0.048848609902245946
285400,0.048465093278534724
285788,0.048848609902245946
285856,0.039747596645143275
286096,0.04716519369593915
288296,0.05687897379933356
285401,0.04018925358796708
288098,0.2847686748515651
288299,0.05687897379933356
288099,0.05829719326103128
288105,0.06142219326103128
285792,0.06722751687407122
285791,0.048848609902245946
288139,0.05687897379933356
285984,0.046043597807823036
285793,0.049215063243959425
285786,0.04722457585505553
288102,0.10058515901825497
286075,0.0503286330523142
286069,0.047905563650417836
286066,0.04121481787584776
286078,0.04276851085035116
285941,0.3034011542678335
286070,0.040827278001004594
285402,0.03982576743170667
285979,0.2972242871279691
285433,0.039439975272370406
285805,0.12017967116759767
286028,0.047568292318849605
285383,0.04736859796042011
286071,0.05162107962548027
285395,0.03982576743170667
285334,0.05446845058851578
285399,0.03982576743170667
288136,0.2820791012822025
286296,0.05956900349110541
286297,0.053967564591726226
286299,0.2442575917925162
288152,0.05829719326103128
288302,0.06592678392184911
286067,0.04986633629532464
288146,0.28328043185602303
285876,0.048465093278534724
288310,0.2820791012822025
285944,0.061290097844316195
285500,0.04785901725137353
288191,0.06592678392184911
288306,0.10058515901825497
288176,0.059736307731372916
288185,0.06592678392184911
286150,0.04962736262951477
288308,0.059736307731372916
286157,0.0394075789370832
288168,0.06592678392184911
286148,0.0473986139872007
285971,0.23526912668433392
288209,0.059736307731372916
285871,0.7173138371430231
285870,0.7372514902071304
286203,0.05192352501224525
285939,0.046284387598998146
