,Population,WLR
0,20153634,0.5462962962962963
1,13310447,0.5291221692039687
2,6657982,0.5246913580246914
3,9512999,0.48276906763614325
4,7233323,0.41358024691358025
5,6131977,0.5061728395061729
6,6070500,0.49382716049382713
7,4794447,0.6666666666666666
8,3551036,0.48148148148148145
9,2853077,0.558282208588957
10,6066387,0.391304347826087
11,4661537,0.5061728395061729
12,4297617,0.3950617283950617
13,5928040,0.4506172839506173
14,6772470,0.6358024691358025
15,5789700,0.5555555555555556
16,3032171,0.5555555555555556
17,2342299,0.5093167701863354
18,2055612,0.5617283950617284
19,3798902,0.5493827160493827
20,2165139,0.41358024691358025
21,2104509,0.35802469135802467
22,2807002,0.5432098765432098
23,2798886,0.29012345679012347
24,1572482,0.588957055214724
25,3317749,0.4074074074074074
